dt,open,high,low,close,volume
2024-11-13 18:00:00,124611000.0,124681000.0,124167000.0,124667000.0,52.09344969
2024-11-13 18:15:00,124667000.0,124895000.0,124633000.0,124870000.0,27.85773326
2024-11-13 18:30:00,124869000.0,124900000.0,124210000.0,124604000.0,45.98980957
2024-11-13 18:45:00,124600000.0,124700000.0,124492000.0,124551000.0,23.06505198
2024-11-13 19:00:00,124550000.0,124570000.0,124210000.0,124230000.0,36.37055626
2024-11-13 19:15:00,124233000.0,124400000.0,124210000.0,124290000.0,29.04442803
2024-11-13 19:30:00,124290000.0,124384000.0,124000000.0,124003000.0,39.32283654
2024-11-13 19:45:00,124003000.0,124500000.0,124002000.0,124463000.0,49.01504589
2024-11-13 20:00:00,124463000.0,124900000.0,124353000.0,124894000.0,44.01511187
2024-11-13 20:15:00,124893000.0,125210000.0,124396000.0,124770000.0,97.6264513
2024-11-13 20:30:00,124692000.0,125068000.0,124560000.0,124885000.0,33.22445265
2024-11-13 20:45:00,124885000.0,125000000.0,124612000.0,124625000.0,55.42413235
2024-11-13 21:00:00,124625000.0,124765000.0,124409000.0,124644000.0,43.20192575
2024-11-13 21:15:00,124584000.0,124940000.0,124409000.0,124873000.0,31.08013519
2024-11-13 21:30:00,124833000.0,124935000.0,124515000.0,124847000.0,31.86346247
2024-11-13 21:45:00,124825000.0,124926000.0,124450000.0,124462000.0,38.1966477
2024-11-13 22:00:00,124463000.0,124535000.0,124393000.0,124484000.0,45.3003066
2024-11-13 22:15:00,124483000.0,125315000.0,124483000.0,125075000.0,118.52841137
2024-11-13 22:30:00,125075000.0,126491000.0,125031000.0,126401000.0,297.29002879
2024-11-13 22:45:00,126401000.0,127100000.0,125672000.0,126600000.0,329.92620061
2024-11-13 23:00:00,126566000.0,126860000.0,125672000.0,126602000.0,164.03353934
2024-11-13 23:15:00,126603000.0,127050000.0,126434000.0,127049000.0,156.01562275
2024-11-13 23:30:00,127049000.0,128344000.0,126673000.0,127940000.0,529.08643891
2024-11-13 23:45:00,127969000.0,128921000.0,127408000.0,128679000.0,375.037689
2024-11-14 00:00:00,128700000.0,128720000.0,127100000.0,128157000.0,273.83959714
2024-11-14 00:15:00,128157000.0,128859000.0,127755000.0,128853000.0,225.91070788
2024-11-14 00:30:00,128859000.0,129200000.0,128034000.0,129200000.0,200.20008422
2024-11-14 00:45:00,129200000.0,130000000.0,129145000.0,129750000.0,375.40344099
2024-11-14 01:00:00,129776000.0,131041000.0,129588000.0,130981000.0,405.81152654
2024-11-14 01:15:00,130899000.0,131021000.0,130201000.0,130713000.0,233.23534984
2024-11-14 01:30:00,130692000.0,130800000.0,128720000.0,129083000.0,243.83523332
2024-11-14 01:45:00,129083000.0,130000000.0,129080000.0,129574000.0,117.19343566
2024-11-14 02:00:00,129573000.0,130276000.0,129450000.0,130100000.0,90.11448408
2024-11-14 02:15:00,130100000.0,130302000.0,129461000.0,129674000.0,57.12341166
2024-11-14 02:30:00,129674000.0,129800000.0,129159000.0,129183000.0,62.54225424
2024-11-14 02:45:00,129183000.0,129703000.0,129125000.0,129637000.0,43.70923126
2024-11-14 03:00:00,129639000.0,130120000.0,129637000.0,129919000.0,54.633901
2024-11-14 03:15:00,129919000.0,130632000.0,129529000.0,130209000.0,75.69178729
2024-11-14 03:30:00,130209000.0,130496000.0,130000000.0,130351000.0,39.29167896
2024-11-14 03:45:00,130352000.0,130840000.0,130104000.0,130553000.0,63.42263613
2024-11-14 04:00:00,130496000.0,130615000.0,128162000.0,128265000.0,168.68742143
2024-11-14 04:15:00,128265000.0,129222000.0,127634000.0,129000000.0,160.49398288
2024-11-14 04:30:00,129000000.0,129164000.0,127580000.0,128377000.0,79.50405747
2024-11-14 04:45:00,128378000.0,128767000.0,127867000.0,128009000.0,47.77088707
2024-11-14 05:00:00,128109000.0,128844000.0,127181000.0,128800000.0,191.59754941
2024-11-14 05:15:00,128792000.0,129130000.0,128331000.0,128588000.0,92.49035225
2024-11-14 05:30:00,128589000.0,129097000.0,128100000.0,128614000.0,111.732158
2024-11-14 05:45:00,128614000.0,128614000.0,127500000.0,127746000.0,120.21566641
2024-11-14 06:00:00,127678000.0,127880000.0,126146000.0,126383000.0,224.44073564
2024-11-14 06:15:00,126383000.0,126993000.0,125500000.0,126689000.0,158.09227151
2024-11-14 06:30:00,126689000.0,127524000.0,126614000.0,127220000.0,69.15714054
2024-11-14 06:45:00,127222000.0,127222000.0,125986000.0,125990000.0,80.88734981
2024-11-14 07:00:00,125990000.0,127237000.0,125737000.0,127152000.0,68.51095802
2024-11-14 07:15:00,127100000.0,127946000.0,126982000.0,127724000.0,76.11390072
2024-11-14 07:30:00,127724000.0,128000000.0,127216000.0,127704000.0,80.31993024
2024-11-14 07:45:00,127704000.0,127961000.0,127587000.0,127698000.0,57.27591754
2024-11-14 08:00:00,127698000.0,127698000.0,127100000.0,127512000.0,66.37559992
2024-11-14 08:15:00,127513000.0,128000000.0,127474000.0,127989000.0,77.1355856
2024-11-14 08:30:00,127988000.0,128300000.0,127880000.0,128246000.0,89.31284727
2024-11-14 08:45:00,128179000.0,128297000.0,127929000.0,128111000.0,66.29948366
2024-11-14 09:00:00,128111000.0,128358000.0,127734000.0,128313000.0,111.87510489
2024-11-14 09:15:00,128311000.0,128501000.0,128100000.0,128187000.0,89.03215098
2024-11-14 09:30:00,128187000.0,128387000.0,127315000.0,127495000.0,107.1144993
2024-11-14 09:45:00,127495000.0,128119000.0,127300000.0,127978000.0,78.45464009
2024-11-14 10:00:00,127977000.0,128350000.0,127654000.0,128178000.0,59.04567212
2024-11-14 10:15:00,128178000.0,128280000.0,127599000.0,127607000.0,54.09135256
2024-11-14 10:30:00,127627000.0,127859000.0,127382000.0,127611000.0,76.76880456
2024-11-14 10:45:00,127645000.0,128360000.0,127513000.0,128360000.0,84.12527627
2024-11-14 11:00:00,128358000.0,128500000.0,127874000.0,128002000.0,92.93240939
2024-11-14 11:15:00,128026000.0,128175000.0,127500000.0,127597000.0,114.21488756
2024-11-14 11:30:00,127597000.0,128074000.0,127507000.0,127799000.0,143.94697399
2024-11-14 11:45:00,127799000.0,128280000.0,127794000.0,128277000.0,100.0757289
2024-11-14 12:00:00,128276000.0,128360000.0,127875000.0,128024000.0,81.97945638
2024-11-14 12:15:00,128024000.0,128348000.0,127760000.0,128175000.0,67.13282067
2024-11-14 12:30:00,128105000.0,128175000.0,128000000.0,128040000.0,49.09311977
2024-11-14 12:45:00,128032000.0,128340000.0,128020000.0,128150000.0,44.776265
2024-11-14 13:00:00,128168000.0,128168000.0,127791000.0,128062000.0,45.99352516
2024-11-14 13:15:00,128060000.0,128063000.0,127789000.0,127815000.0,35.88312756
2024-11-14 13:30:00,127805000.0,127972000.0,127600000.0,127957000.0,63.86739103
2024-11-14 13:45:00,127956000.0,128268000.0,127891000.0,128185000.0,47.14395344
2024-11-14 14:00:00,128185000.0,128185000.0,127827000.0,127830000.0,32.03201962
2024-11-14 14:15:00,127830000.0,128260000.0,127777000.0,128050000.0,33.52002906
2024-11-14 14:30:00,128052000.0,128200000.0,127850000.0,127902000.0,45.28243944
2024-11-14 14:45:00,127902000.0,128100000.0,127896000.0,128021000.0,35.85053839
2024-11-14 15:00:00,128021000.0,128262000.0,128011000.0,128046000.0,56.92613089
2024-11-14 15:15:00,128046000.0,128268000.0,127964000.0,127969000.0,51.08492725
2024-11-14 15:30:00,127965000.0,127971000.0,127827000.0,127967000.0,54.56915514
2024-11-14 15:45:00,127914000.0,127967000.0,127500000.0,127503000.0,65.45821344
