ts_utc,funding_rate
2023-01-01 00:00:00+00:00,-0.00092452
2023-01-01 08:00:00.008000+00:00,-0.00039729
2023-01-01 16:00:00+00:00,-0.00097445
2023-01-02 00:00:00+00:00,-0.00105604
2023-01-02 08:00:00.008000+00:00,-0.00073395
2023-01-02 16:00:00.015000+00:00,-0.00036678
2023-01-03 00:00:00.003000+00:00,-0.00137389
2023-01-03 08:00:00.018000+00:00,-0.0032206
2023-01-03 16:00:00+00:00,-0.00820119
2023-01-04 00:00:00+00:00,-0.00349905
2023-01-04 08:00:00.016000+00:00,-0.00927078
2023-01-04 16:00:00.011000+00:00,-0.00145742
2023-01-05 00:00:00.009000+00:00,-0.00197574
2023-01-05 08:00:00.011000+00:00,-0.00017797
2023-01-05 16:00:00+00:00,-0.00035808
2023-01-06 00:00:00.005000+00:00,-0.0028675
2023-01-06 08:00:00.001000+00:00,-5.103e-05
2023-01-06 16:00:00+00:00,-0.00097063
2023-01-07 00:00:00.006000+00:00,-0.00063098
2023-01-07 08:00:00.017000+00:00,-8.222e-05
2023-01-07 16:00:00+00:00,-0.00049317
2023-01-08 00:00:00.015000+00:00,-0.00032422
2023-01-08 08:00:00+00:00,-0.00041686
2023-01-08 16:00:00.010000+00:00,-0.0002307
2023-01-09 00:00:00.003000+00:00,-0.0002275
2023-01-09 08:00:00+00:00,0.0001
2023-01-09 16:00:00.006000+00:00,0.0001
2023-01-10 00:00:00.003000+00:00,0.0001
2023-01-10 08:00:00.021000+00:00,0.0001
2023-01-10 16:00:00+00:00,-0.00015347
2023-01-11 00:00:00.011000+00:00,-0.0002485
2023-01-11 08:00:00.006000+00:00,-1.768e-05
2023-01-11 16:00:00.004000+00:00,0.0001
2023-01-12 00:00:00+00:00,0.0001
2023-01-12 08:00:00+00:00,0.0001
2023-01-12 16:00:00+00:00,-0.00044772
2023-01-13 00:00:00.004000+00:00,-5.616e-05
2023-01-13 08:00:00+00:00,2.603e-05
2023-01-13 16:00:00.018000+00:00,-0.00058902
2023-01-14 00:00:00+00:00,0.0001
2023-01-14 08:00:00.001000+00:00,0.00027702
2023-01-14 16:00:00+00:00,0.0001
2023-01-15 00:00:00.010000+00:00,0.00023978
2023-01-15 08:00:00.002000+00:00,0.00036502
2023-01-15 16:00:00+00:00,0.00012309
2023-01-16 00:00:00.010000+00:00,0.00019979
2023-01-16 08:00:00.007000+00:00,0.00041624
2023-01-16 16:00:00+00:00,0.0001
2023-01-17 00:00:00.004000+00:00,0.00012293
2023-01-17 08:00:00.005000+00:00,0.0001
2023-01-17 16:00:00.001000+00:00,0.0001
2023-01-18 00:00:00.008000+00:00,0.0001
2023-01-18 08:00:00.009000+00:00,0.0001
2023-01-18 16:00:00.017000+00:00,0.0001
2023-01-19 00:00:00+00:00,0.0001
2023-01-19 08:00:00.015000+00:00,0.0001
2023-01-19 16:00:00.012000+00:00,0.0001
2023-01-20 00:00:00+00:00,0.0001
2023-01-20 08:00:00+00:00,0.0001
2023-01-20 16:00:00+00:00,0.0001
2023-01-21 00:00:00.013000+00:00,0.0001
2023-01-21 08:00:00.001000+00:00,0.00030268
2023-01-21 16:00:00.016000+00:00,0.0001
2023-01-22 00:00:00+00:00,0.0001
2023-01-22 08:00:00+00:00,0.0001
2023-01-22 16:00:00.023000+00:00,0.0001
2023-01-23 00:00:00.014000+00:00,0.0001
2023-01-23 08:00:00.014000+00:00,0.0001
2023-01-23 16:00:00.016000+00:00,0.0001
2023-01-24 00:00:00.008000+00:00,0.0001
2023-01-24 08:00:00.008000+00:00,0.00013079
2023-01-24 16:00:00+00:00,0.0001
2023-01-25 00:00:00.012000+00:00,0.0001
2023-01-25 08:00:00+00:00,1.239e-05
2023-01-25 16:00:00.010000+00:00,0.0001
2023-01-26 00:00:00.010000+00:00,0.0001
2023-01-26 08:00:00.003000+00:00,0.0001
2023-01-26 16:00:00.020000+00:00,0.0001
2023-01-27 00:00:00.008000+00:00,0.0001
2023-01-27 08:00:00+00:00,0.0001
2023-01-27 16:00:00+00:00,0.0001
2023-01-28 00:00:00.009000+00:00,0.0001
2023-01-28 08:00:00.018000+00:00,0.00013046
2023-01-28 16:00:00.005000+00:00,0.0001
2023-01-29 00:00:00.011000+00:00,0.0001
2023-01-29 08:00:00+00:00,0.0001
2023-01-29 16:00:00.008000+00:00,0.0001
2023-01-30 00:00:00.001000+00:00,0.00050275
2023-01-30 08:00:00+00:00,0.0001
2023-01-30 16:00:00+00:00,0.0001
2023-01-31 00:00:00.005000+00:00,0.0001
2023-01-31 08:00:00+00:00,0.0001
2023-01-31 16:00:00.007000+00:00,0.0001
2023-02-01 00:00:00.013000+00:00,0.0001
2023-02-01 08:00:00+00:00,0.0001
2023-02-01 16:00:00.012000+00:00,0.0001
2023-02-02 00:00:00.004000+00:00,0.0001
2023-02-02 08:00:00.023000+00:00,0.00026236
2023-02-02 16:00:00.003000+00:00,0.0001
2023-02-03 00:00:00.010000+00:00,0.0001
2023-02-03 08:00:00+00:00,6.262e-05
2023-02-03 16:00:00+00:00,7.317e-05
2023-02-04 00:00:00.010000+00:00,0.0001
2023-02-04 08:00:00+00:00,0.0001
2023-02-04 16:00:00+00:00,0.0001
2023-02-05 00:00:00.016000+00:00,0.0001
2023-02-05 08:00:00.009000+00:00,-8.182e-05
2023-02-05 16:00:00.018000+00:00,-0.00019779
