ts_utc,funding_rate
2023-01-01 00:00:00+00:00,-0.00011615
2023-01-01 08:00:00.008000+00:00,-8.48e-06
2023-01-01 16:00:00+00:00,-0.00013053
2023-01-02 00:00:00+00:00,-0.00011977
2023-01-02 08:00:00.008000+00:00,-0.00017468
2023-01-02 16:00:00.015000+00:00,-3.47e-05
2023-01-03 00:00:00.003000+00:00,-3.546e-05
2023-01-03 08:00:00.018000+00:00,5.134e-05
2023-01-03 16:00:00+00:00,2.055e-05
2023-01-04 00:00:00+00:00,-0.000122
2023-01-04 08:00:00.016000+00:00,-8.53e-05
2023-01-04 16:00:00.011000+00:00,-0.00017082
2023-01-05 00:00:00.009000+00:00,-0.00037958
2023-01-05 08:00:00.011000+00:00,-0.00048797
2023-01-05 16:00:00+00:00,-0.00043955
2023-01-06 00:00:00.005000+00:00,-0.00142804
2023-01-06 08:00:00.001000+00:00,-0.00259376
2023-01-06 16:00:00+00:00,-0.00179834
2023-01-07 00:00:00.006000+00:00,-0.00014421
2023-01-07 08:00:00.017000+00:00,-0.00055595
2023-01-07 16:00:00+00:00,-0.00058005
2023-01-08 00:00:00.015000+00:00,-0.00026979
2023-01-08 08:00:00+00:00,-0.00023152
2023-01-08 16:00:00.010000+00:00,-0.00029062
2023-01-09 00:00:00.003000+00:00,-6.58e-05
2023-01-09 08:00:00+00:00,-0.00015533
2023-01-09 16:00:00.006000+00:00,-8.996e-05
2023-01-10 00:00:00.003000+00:00,-0.00015767
2023-01-10 08:00:00.021000+00:00,-0.00011145
2023-01-10 16:00:00+00:00,-4.977e-05
2023-01-11 00:00:00.011000+00:00,-9.613e-05
2023-01-11 08:00:00.006000+00:00,-1.941e-05
2023-01-11 16:00:00.004000+00:00,2.6e-06
2023-01-12 00:00:00+00:00,-5.842e-05
2023-01-12 08:00:00+00:00,-0.00012724
2023-01-12 16:00:00+00:00,-7.592e-05
2023-01-13 00:00:00.004000+00:00,-0.0001248
2023-01-13 08:00:00+00:00,3.93e-05
2023-01-13 16:00:00.018000+00:00,-6.162e-05
2023-01-14 00:00:00+00:00,0.0001
2023-01-14 08:00:00.001000+00:00,0.0001
2023-01-14 16:00:00+00:00,0.0001
2023-01-15 00:00:00.010000+00:00,0.0001
2023-01-15 08:00:00.002000+00:00,0.0001
2023-01-15 16:00:00+00:00,0.0001
2023-01-16 00:00:00.010000+00:00,0.0001
2023-01-16 08:00:00.007000+00:00,-7.51e-06
2023-01-16 16:00:00+00:00,9.312e-05
2023-01-17 00:00:00.004000+00:00,0.0001
2023-01-17 08:00:00.005000+00:00,0.0001
2023-01-17 16:00:00.001000+00:00,7.682e-05
2023-01-18 00:00:00.008000+00:00,-1.656e-05
2023-01-18 08:00:00.009000+00:00,0.0001
2023-01-18 16:00:00.017000+00:00,0.0001
2023-01-19 00:00:00+00:00,-0.00032174
2023-01-19 08:00:00.015000+00:00,-0.00017961
2023-01-19 16:00:00.012000+00:00,-8.873e-05
2023-01-20 00:00:00+00:00,-2.63e-06
2023-01-20 08:00:00+00:00,-2.983e-05
2023-01-20 16:00:00+00:00,-2.586e-05
2023-01-21 00:00:00.013000+00:00,0.0001
2023-01-21 08:00:00.001000+00:00,0.0001
2023-01-21 16:00:00.016000+00:00,0.0001
2023-01-22 00:00:00+00:00,0.0001
2023-01-22 08:00:00+00:00,0.0001
2023-01-22 16:00:00.023000+00:00,0.0001
2023-01-23 00:00:00.014000+00:00,0.0001
2023-01-23 08:00:00.014000+00:00,0.0001
2023-01-23 16:00:00.016000+00:00,0.0001
2023-01-24 00:00:00.008000+00:00,0.0001
2023-01-24 08:00:00.008000+00:00,0.0001
2023-01-24 16:00:00+00:00,0.0001
2023-01-25 00:00:00.012000+00:00,2.082e-05
2023-01-25 08:00:00+00:00,2.356e-05
2023-01-25 16:00:00.010000+00:00,-1.687e-05
2023-01-26 00:00:00.010000+00:00,0.0001
2023-01-26 08:00:00.003000+00:00,0.0001
2023-01-26 16:00:00.020000+00:00,0.0001
2023-01-27 00:00:00.008000+00:00,0.0001
2023-01-27 08:00:00+00:00,0.0001
2023-01-27 16:00:00+00:00,0.0001
2023-01-28 00:00:00.009000+00:00,0.0001
2023-01-28 08:00:00.018000+00:00,0.0001
2023-01-28 16:00:00.005000+00:00,0.0001
2023-01-29 00:00:00.011000+00:00,0.0001
2023-01-29 08:00:00+00:00,0.0001
2023-01-29 16:00:00.008000+00:00,0.0001
2023-01-30 00:00:00.001000+00:00,0.0001
2023-01-30 08:00:00+00:00,0.0001
2023-01-30 16:00:00+00:00,7.208e-05
2023-01-31 00:00:00.005000+00:00,0.0001
2023-01-31 08:00:00+00:00,0.0001
2023-01-31 16:00:00.007000+00:00,0.0001
2023-02-01 00:00:00.013000+00:00,0.0001
2023-02-01 08:00:00+00:00,8.16e-05
2023-02-01 16:00:00.012000+00:00,0.0001
2023-02-02 00:00:00.004000+00:00,0.0001
2023-02-02 08:00:00.023000+00:00,0.0001
2023-02-02 16:00:00.003000+00:00,0.0001
2023-02-03 00:00:00.010000+00:00,0.0001
2023-02-03 08:00:00+00:00,0.0001
2023-02-03 16:00:00+00:00,0.0001
2023-02-04 00:00:00.010000+00:00,0.0001
2023-02-04 08:00:00+00:00,0.0001
2023-02-04 16:00:00+00:00,0.0001
2023-02-05 00:00:00.016000+00:00,0.0001
2023-02-05 08:00:00.009000+00:00,0.0001
2023-02-05 16:00:00.018000+00:00,0.0001
2023-02-06 00:00:00.001000+00:00,0.0001
2023-02-06 08:00:00+00:00,0.0001
2023-02-06 16:00:00.012000+00:00,0.0001
2023-02-07 00:00:00.004000+00:00,0.0001
2023-02-07 08:00:00.011000+00:00,0.0001
2023-02-07 16:00:00.018000+00:00,0.0001
2023-02-08 00:00:00.009000+00:00,0.0001
2023-02-08 08:00:00.010000+00:00,0.0001
2023-02-08 16:00:00+00:00,0.0001
2023-02-09 00:00:00.014000+00:00,0.0001
2023-02-09 08:00:00.006000+00:00,0.0001
2023-02-09 16:00:00.001000+00:00,0.0001
2023-02-10 00:00:00.012000+00:00,-0.00023064
2023-02-10 08:00:00.005000+00:00,0.0001
2023-02-10 16:00:00.020000+00:00,6.981e-05
2023-02-11 00:00:00.007000+00:00,1.825e-05
2023-02-11 08:00:00.002000+00:00,0.0001
2023-02-11 16:00:00.021000+00:00,4.484e-05
2023-02-12 00:00:00.004000+00:00,5.56e-05
2023-02-12 08:00:00+00:00,-8.385e-05
2023-02-12 16:00:00.002000+00:00,3.048e-05
2023-02-13 00:00:00.006000+00:00,-0.00012381
2023-02-13 08:00:00.008000+00:00,9.469e-05
2023-02-13 16:00:00.002000+00:00,0.0001
2023-02-14 00:00:00.013000+00:00,0.0001
2023-02-14 08:00:00.014000+00:00,3.345e-05
2023-02-14 16:00:00.016000+00:00,6.32e-05
2023-02-15 00:00:00.011000+00:00,0.0001
2023-02-15 08:00:00+00:00,4.738e-05
2023-02-15 16:00:00.005000+00:00,9.106e-05
2023-02-16 00:00:00.019000+00:00,0.0001
2023-02-16 08:00:00+00:00,0.0001
2023-02-16 16:00:00.001000+00:00,0.0001
2023-02-17 00:00:00.003000+00:00,0.0001
2023-02-17 08:00:00.016000+00:00,0.0001
2023-02-17 16:00:00+00:00,0.0001
2023-02-18 00:00:00.011000+00:00,0.0001
2023-02-18 08:00:00+00:00,0.0001
2023-02-18 16:00:00.007000+00:00,0.0001
2023-02-19 00:00:00.019000+00:00,0.0001
2023-02-19 08:00:00.005000+00:00,0.0001
2023-02-19 16:00:00.003000+00:00,0.0001
2023-02-20 00:00:00.006000+00:00,0.0001
2023-02-20 08:00:00.008000+00:00,0.0001
2023-02-20 16:00:00.006000+00:00,0.0001
2023-02-21 00:00:00.001000+00:00,0.0001
2023-02-21 08:00:00.004000+00:00,0.0001
2023-02-21 16:00:00.011000+00:00,0.0001
2023-02-22 00:00:00.009000+00:00,0.0001
2023-02-22 08:00:00.010000+00:00,8.313e-05
2023-02-22 16:00:00+00:00,0.0001
2023-02-23 00:00:00.006000+00:00,0.0001
2023-02-23 08:00:00.005000+00:00,0.0001
2023-02-23 16:00:00.002000+00:00,0.0001
2023-02-24 00:00:00.015000+00:00,0.0001
2023-02-24 08:00:00.011000+00:00,0.0001
2023-02-24 16:00:00.014000+00:00,2.278e-05
2023-02-25 00:00:00.015000+00:00,-0.00018239
2023-02-25 08:00:00.015000+00:00,-0.00010367
2023-02-25 16:00:00.015000+00:00,8.755e-05
2023-02-26 00:00:00.007000+00:00,-0.00012988
2023-02-26 08:00:00.012000+00:00,-3.657e-05
