time,engine,ticker,side,amount,price,size,fee,pnl,reason
2026-07-16 18:01:07,횡보,KRW-LINK,sell,499212.02633721003,12410.0,40.22659358075826,499.60601316860505,-1037.57967595855,시간만료
2026-07-16 18:01:07,횡보,KRW-DOGE,sell,503745.26773545396,108.0,4664.308034587537,501.872633867727,3493.3951015862403,시간만료
2026-07-16 21:48:39,횡보,KRW-ETH,buy,500000.0,2749257.498305297,0.18177635245445614,250.0,,
2026-07-16 21:48:39,횡보,KRW-XRP,buy,500000.0,1618.3628344049437,308.79972610329577,250.0,,
2026-07-16 21:48:39,횡보,KRW-SOL,buy,500000.0,111319.79270688134,4.489318456744732,250.0,,
2026-07-16 21:48:39,횡보,KRW-LINK,buy,500000.0,12303.271232072555,40.619278448258214,250.0,,
2026-07-16 22:34:09,횡보,KRW-SOL,sell,504196.28648182435,112310.20729311866,4.489318456744732,502.0981432409122,3944.1883385834517,상단익절
2026-07-16 22:39:12,횡보,KRW-XRP,sell,503478.5501643873,1630.4371655950565,308.79972610329577,501.73927508219367,3226.8108893051394,상단익절
2026-07-16 22:39:12,횡보,KRW-LINK,sell,505658.3801512873,12448.728767927445,40.619278448258214,502.8291900756436,5405.550961211673,상단익절
2026-07-16 23:04:29,횡보,KRW-ETH,sell,502611.61453657126,2765000.0,0.18177635245445614,501.30580726828566,2360.308729302953,시간만료
2026-07-17 08:00:28,횡보,KRW-SOL,buy,500000.0,110803.6539952203,4.510230321660309,250.0,,
2026-07-17 08:30:48,횡보,KRW-ETH,buy,500000.0,2739223.9545422546,0.182442183732842,250.0,,
2026-07-17 09:16:19,횡보,KRW-SOL,sell,499733.51963996224,110800.0,4.510230321660309,499.8667598199811,-516.3471198577317,시간만료
2026-07-17 09:46:39,횡보,KRW-ETH,sell,499891.58342798706,2740000.0,0.182442183732842,499.9457917139936,-358.3623637269484,시간만료
2026-07-18 18:34:31,횡보,KRW-XRP,buy,500000.0,1603.3542591000949,311.690318695066,250.0,,
2026-07-18 18:34:31,횡보,KRW-SOL,buy,500000.0,110330.42267274096,4.529575686321302,250.0,,
2026-07-18 19:45:24,횡보,KRW-XRP,sell,500574.651824276,1606.0,311.690318695066,500.28732591213804,324.364498363866,시간만료
2026-07-18 19:45:24,횡보,KRW-SOL,sell,501424.02847576817,110700.0,4.529575686321302,500.7120142378841,1173.3164615302812,시간만료
2026-07-19 09:34:51,횡보,KRW-LINK,buy,500000.0,12270.218666084942,40.728695518794304,250.0,,
2026-07-19 10:50:43,횡보,KRW-LINK,sell,499741.0940156061,12270.0,40.728695518794304,499.87054700780305,-508.7765314017306,시간만료
2026-07-19 18:20:41,횡보,KRW-DOT,buy,500000.0,1226.4047867719703,407.4918863578443,250.0,,
2026-07-19 18:35:52,횡보,KRW-ADA,buy,500000.0,242.46036906515806,2061.161590765783,250.0,,
2026-07-19 19:51:42,횡보,KRW-DOT,sell,501622.5121065063,1231.0,407.4918863578443,500.81125605325315,1371.7008504530531,시간만료
2026-07-19 19:51:42,횡보,KRW-ADA,sell,500862.26655608526,243.0,2061.161590765783,500.43113327804264,611.8354228071985,시간만료
2026-07-20 20:48:27,횡보,KRW-TRX,buy,500000.0,477.3434382751225,1046.9401272296598,250.0,,
2026-07-20 22:04:17,횡보,KRW-TRX,sell,501484.320943007,479.0,1046.9401272296598,500.74216047150355,1233.5787825355073,시간만료
2026-07-21 13:49:55,횡보,KRW-DOGE,buy,500000.0,105.13051623593616,4753.615010112291,250.0,,
2026-07-21 14:05:06,횡보,KRW-DOGE,sell,507065.6591417833,106.66948376406386,4753.615010112291,503.53282957089164,6812.1263122124365,상단익절
2026-07-22 01:32:47,횡보,KRW-ADA,buy,500000.0,253.07256291771833,1974.7300704521022,250.0,,
2026-07-22 02:48:37,횡보,KRW-ADA,sell,497631.97775392974,252.0,1974.7300704521022,498.81598887696487,-2616.8382349472377,시간만료
2026-07-22 12:19:58,횡보,KRW-TRX,buy,500000.0,480.2739555361594,1040.551947985808,250.0,,
2026-07-22 13:10:32,횡보,KRW-TRX,sell,502405.5811051317,482.8260444638406,1040.551947985808,501.20279055256583,2154.3783145791385,상단익절
2026-07-23 12:31:09,횡보,KRW-TRX,buy,500000.0,478.382142628466,1044.6669209977792,250.0,,
2026-07-23 13:46:59,횡보,KRW-TRX,sell,500395.45515793626,479.0,1044.6669209977792,500.19772757896817,145.25743035727646,시간만료
2026-07-23 16:33:50,횡보,KRW-ETH,buy,500000.0,2790789.759217802,0.179071174512289,250.0,,
2026-07-23 16:49:00,횡보,KRW-ADA,buy,500000.0,251.08871689652645,1990.332366093323,250.0,,
2026-07-23 17:04:10,횡보,KRW-BTC,buy,500000.0,95291427.98049343,0.00524443814717837,250.0,,
